Student_ID,Previous_Semester_GPA,No_of_Backlogs,Cumulative_GPA,T1_Marks,T2_Marks,T3_Marks,Attendance_Percentage,TA_Marks,Adherence_to_Deadlines,Total_Score,Final_Grade
S00079,7.01,0,6.86,13,13,30,82,23,5,79,B+
S00080,6.39,0,6.23,17,15,26,76,21,5,79,B+
S00081,5.07,0,8.49,15,18,28,86,21,4,82,B+
S00082,7.99,0,7.68,17,16,27,83,18,3,78,B+
S00083,6.01,0,7.81,15,16,30,70,18,3,79,B+
S00084,5.61,0,7.44,14,17,24,68,19,5,74,B
S00085,6.75,0,6.52,14,13,31,85,21,4,79,B+
S00086,3.99,0,8.04,15,15,28,79,25,5,83,B+
S00087,6.27,1,7.49,11,14,26,93,23,4,74,B
S00088,5.12,0,8.34,13,19,30,94,24,5,86,A
S00089,5.98,0,6.51,14,17,19,90,19,4,69,B
S00090,5.59,0,6.67,14,16,27,81,24,5,81,B+
S00091,3.83,2,7.26,11,12,25,69,12,3,60,C+
S00092,6.5,0,7.06,15,12,34,71,21,5,82,B+
S00093,6.69,0,5.14,13,11,27,65,18,4,69,B
S00094,5.28,0,5.8,15,14,27,87,21,4,77,B+
S00095,7.18,0,7.25,15,11,24,90,21,5,71,B
S00096,7.5,0,5.79,16,11,23,61,14,3,64,C+
S00097,7.02,1,5.89,16,15,25,84,18,3,74,B
S00098,5.41,0,7.03,12,13,21,74,21,5,67,B
S00099,6.88,0,6.55,14,15,25,78,21,5,75,B+
S00100,7.83,0,6.76,18,16,24,81,22,4,80,B+
S00101,5.2,0,7.86,15,16,25,91,21,4,77,B+
S00102,5.08,0,7.01,14,11,31,98,23,4,79,B+
S00103,7.87,0,7.07,10,13,31,74,21,4,75,B+
S00104,6.55,0,4.96,18,15,26,82,21,4,80,B+
S00105,7.19,0,6.21,14,14,26,70,19,4,73,B
S00106,4.26,0,6.1,18,16,25,81,19,4,78,B+
S00107,7.22,0,6.79,16,13,23,82,20,2,72,B
S00108,5.77,0,7.05,17,17,29,84,20,4,83,B+
S00109,7.53,0,7.25,15,17,29,76,17,3,78,B+
S00110,8.39,0,4.87,15,13,33,85,24,5,85,A
S00111,8.21,2,8.86,8,13,22,85,23,5,66,B
S00112,4.36,1,7.07,16,13,28,94,20,4,77,B+
S00113,6.62,0,7.68,16,12,26,72,17,3,71,B
S00114,7.84,1,4.57,14,12,20,75,19,4,65,B
S00115,7.37,0,6.57,16,17,33,91,21,4,87,A
S00116,5.86,0,6.0,13,14,25,78,22,4,74,B
S00117,7.45,0,5.32,16,13,32,63,13,2,74,B
S00118,9.27,2,5.99,12,13,21,78,22,5,68,B
S00119,7.42,0,6.37,13,13,24,94,23,4,73,B
S00120,6.18,1,7.57,16,19,23,64,23,5,81,B+
S00121,4.9,0,8.07,15,15,28,85,18,3,76,B+
S00122,6.98,1,6.94,17,16,28,74,18,3,79,B+
S00123,7.07,1,5.22,13,11,23,66,16,4,63,C+
S00124,7.05,0,6.98,15,17,26,90,20,4,78,B+
S00125,7.12,1,7.31,16,15,28,74,22,5,81,B+
S00126,7.62,0,5.55,17,17,21,83,22,4,77,B+
S00127,6.85,1,9.05,14,9,24,76,20,4,67,B
S00128,7.35,0,6.91,15,17,23,83,18,3,73,B
S00129,5.87,0,7.4,18,16,23,96,21,3,78,B+
S00130,8.79,0,8.82,16,12,30,65,18,4,76,B+
S00131,6.27,0,6.66,15,14,34,86,21,3,84,B+
S00132,6.97,0,6.14,13,12,28,70,18,4,71,B
S00133,9.02,0,6.55,16,14,25,95,21,3,76,B+
S00134,7.81,0,6.72,11,16,26,91,20,3,73,B
S00135,5.15,1,4.77,16,15,26,96,21,3,78,B+
S00136,7.08,1,6.6,13,11,22,93,23,4,69,B
S00137,3.78,0,5.2,17,14,27,71,19,4,77,B+
S00138,7.42,0,4.87,14,16,30,77,19,4,79,B+
S00139,5.96,0,6.85,16,15,20,79,18,3,69,B
S00140,6.7,0,7.34,12,14,24,66,14,3,64,C+
S00141,7.16,0,8.04,18,12,27,88,21,3,78,B+
S00142,6.64,0,7.79,17,12,31,85,22,4,82,B+
S00143,7.85,0,5.95,12,14,24,79,22,4,72,B
S00144,6.66,0,7.43,17,16,27,97,21,3,81,B+
S00145,5.72,0,6.69,16,12,21,72,21,5,70,B
S00146,9.13,1,4.87,13,13,25,90,22,4,73,B
S00147,5.79,0,7.05,17,18,26,90,24,4,85,A
S00148,7.18,0,8.26,16,16,24,92,19,3,75,B+
S00149,6.07,0,7.06,17,15,27,71,17,3,76,B+
S00150,7.39,2,5.56,11,13,23,70,20,4,67,B
S00151,6.85,0,7.39,17,15,25,96,23,4,80,B+
S00152,7.71,0,7.74,16,16,27,70,15,3,74,B
S00153,4.39,0,5.52,12,15,31,82,22,5,80,B+
S00154,9.1,0,8.77,15,12,24,79,22,5,73,B
S00155,5.2,0,4.73,15,15,28,54,19,5,77,B+
S00156,7.03,0,6.64,16,19,23,75,20,4,78,B+
S00157,7.84,2,6.99,13,12,25,90,21,3,71,B
S00158,6.17,0,7.22,16,13,28,61,20,5,77,B+
S00159,7.89,1,6.53,15,14,27,67,18,4,74,B
S00160,7.58,1,5.51,15,15,25,75,20,4,75,B+
S00161,5.64,0,6.44,16,14,27,81,13,1,70,B
S00162,6.13,0,8.0,16,16,27,72,13,2,72,B
S00163,7.56,0,7.43,15,16,29,80,18,4,78,B+
S00164,5.66,0,8.39,10,16,31,95,16,2,73,B
S00165,7.52,0,6.91,14,14,25,64,18,5,71,B
S00166,5.41,1,7.31,12,13,22,75,19,4,66,B
S00167,7.53,0,6.94,14,18,27,71,18,4,77,B+
S00168,5.6,2,5.92,13,14,28,63,18,4,73,B
S00169,7.02,1,5.36,12,15,25,82,18,4,70,B
S00170,5.56,0,5.36,13,16,30,83,19,4,78,B+
S00171,9.14,0,5.59,14,15,27,60,18,4,74,B
S00172,5.14,0,5.41,16,16,34,85,24,4,90,A+
S00173,5.6,0,6.39,17,13,26,85,20,4,76,B+
S00174,7.9,0,7.22,17,14,27,65,17,4,75,B+
S00175,6.39,3,5.09,11,11,24,81,20,3,66,B
S00176,4.94,0,6.66,16,13,27,81,20,5,76,B+
S00177,9.33,2,8.39,11,11,21,86,21,3,64,C+
S00178,5.13,0,7.83,16,12,29,81,23,5,80,B+
S00179,6.18,0,6.65,18,15,25,87,20,4,78,B+
S00180,5.52,2,8.41,12,17,27,82,18,4,74,B
S00181,4.82,1,6.53,15,15,24,68,20,4,74,B
S00182,5.16,0,7.99,19,16,30,70,18,4,83,B+
S00183,6.09,0,5.16,15,14,24,93,24,4,77,B+
S00184,5.91,2,6.81,12,16,23,60,16,3,67,B
S00185,7.42,0,6.69,16,13,22,78,16,3,67,B
S00186,5.21,0,5.51,16,19,25,64,20,5,80,B+
S00187,5.89,0,7.14,20,17,28,75,17,3,82,B+
S00188,6.09,0,6.56,17,15,24,80,20,4,76,B+
S00189,6.6,0,5.93,14,16,24,89,20,4,74,B
S00190,5.03,3,6.93,12,14,22,57,11,3,59,C+
S00191,6.12,0,6.5,14,16,27,79,22,5,79,B+
S00192,7.08,1,6.63,17,15,24,79,18,4,74,B
S00193,4.7,0,6.85,17,16,28,73,24,5,85,A
S00194,7.18,0,5.19,16,12,23,69,17,4,68,B
S00195,5.37,0,5.38,16,16,24,65,12,2,68,B
S00196,5.85,0,7.6,11,12,32,84,19,4,74,B
S00197,4.42,0,8.82,16,16,27,83,20,4,79,B+
S00198,7.55,3,7.24,11,11,25,88,19,3,66,B
S00199,5.1,0,5.86,16,18,25,69,15,3,74,B
S00200,8.16,0,6.06,17,17,30,91,19,4,83,B+
S00201,9.04,1,8.47,14,12,26,86,22,4,74,B
S00202,6.51,0,7.89,16,17,25,63,17,3,75,B+
S00203,6.91,0,7.58,15,16,30,86,21,4,82,B+
S00204,4.96,0,6.52,14,16,34,70,22,4,86,A
S00205,6.66,0,3.98,13,14,29,88,22,3,78,B+
S00206,5.96,1,5.65,12,17,24,87,18,2,71,B
S00207,7.11,1,3.8,14,13,25,75,24,5,76,B+
S00208,6.93,1,5.13,11,14,25,83,18,3,68,B
S00209,6.49,0,5.23,17,14,30,82,23,4,84,B+
S00210,6.32,1,5.65,15,15,26,64,17,3,73,B
S00211,6.93,0,6.58,16,20,31,75,19,4,86,A
S00212,6.71,0,7.04,15,17,26,83,20,4,78,B+
S00213,7.86,0,7.9,18,14,26,71,17,3,75,B+
S00214,7.22,0,6.79,15,13,23,71,16,4,67,B
S00215,8.53,0,5.17,13,16,28,78,19,4,76,B+
S00216,5.77,0,7.57,14,18,25,64,16,3,73,B
S00217,6.59,0,6.55,12,18,24,78,20,4,74,B
S00218,8.32,0,5.01,16,18,27,76,20,5,81,B+
S00219,6.83,0,6.37,15,15,33,78,19,3,82,B+
S00220,6.57,0,5.48,14,17,27,68,14,3,72,B
S00221,5.33,0,8.55,12,15,27,90,22,4,76,B+
S00222,4.66,0,6.83,15,16,27,90,21,4,79,B+
S00223,5.51,0,8.07,14,16,27,88,20,4,77,B+
S00224,4.19,0,5.14,15,19,29,91,22,5,85,A
S00225,7.4,0,8.76,16,17,26,79,22,5,81,B+
S00226,7.5,0,6.51,17,15,28,72,24,4,84,B+
S00227,5.79,1,9.1,13,16,29,92,23,4,81,B+
S00228,6.32,0,7.12,17,16,24,69,15,3,72,B
S00229,6.91,2,5.73,12,16,25,66,20,5,73,B
S00230,7.19,0,8.14,11,15,27,91,24,4,77,B+
S00231,6.41,1,7.81,14,15,24,66,18,4,71,B
S00232,7.17,0,7.83,17,14,24,79,17,3,72,B
S00233,6.04,0,7.89,16,16,28,67,15,3,75,B+
S00234,7.08,0,5.17,13,16,26,79,20,5,75,B+
S00235,5.89,0,5.92,16,16,27,70,21,5,80,B+
S00236,7.46,0,7.27,18,17,29,62,15,3,79,B+
S00237,6.64,0,6.46,15,15,30,73,22,5,82,B+
S00238,5.8,0,7.97,12,16,31,97,23,3,82,B+
S00239,7.64,0,6.16,18,16,25,74,22,5,81,B+
S00240,3.81,1,6.71,14,11,23,90,20,3,68,B
S00241,7.02,1,7.06,10,16,29,75,18,4,73,B
S00242,6.75,0,9.54,14,17,22,91,18,3,71,B
S00243,7.89,0,7.0,18,16,30,90,20,4,84,B+
S00244,7.98,0,6.64,15,16,28,80,20,4,79,B+
S00245,6.46,0,7.23,15,12,26,82,23,4,76,B+
S00246,5.71,1,6.41,14,14,21,95,23,4,72,B
S00247,6.83,3,6.16,10,10,20,79,15,2,55,C+
S00248,5.01,0,6.34,10,13,22,72,18,4,63,C+
S00249,5.05,2,6.36,11,9,25,88,18,4,63,C+
S00250,5.78,0,6.5,16,19,24,80,22,5,81,B+
S00251,7.6,0,3.55,14,17,32,78,20,4,83,B+
S00252,5.06,0,6.47,12,16,28,83,17,2,73,B
S00253,8.37,1,7.28,11,11,24,79,20,4,66,B
S00254,6.84,0,8.05,10,16,31,84,17,3,74,B
S00255,6.73,0,4.92,15,14,27,85,17,3,73,B
S00256,7.1,0,6.6,16,16,30,68,18,4,80,B+
S00257,8.15,0,6.61,17,17,30,84,20,3,84,B+
S00258,6.11,0,5.74,15,16,28,75,18,4,77,B+
S00259,6.01,0,5.19,11,16,28,78,17,3,72,B
S00260,9.15,0,6.67,16,14,25,77,19,3,74,B
S00261,4.26,0,6.48,18,14,22,84,18,3,72,B
S00262,5.07,1,8.66,13,12,29,70,14,2,68,B
S00263,6.15,3,6.35,9,14,22,75,23,5,68,B
S00264,6.32,0,6.23,15,16,30,81,19,3,80,B+
S00265,6.74,0,5.61,19,15,26,73,17,3,77,B+
S00266,6.87,0,6.99,14,19,30,78,19,4,82,B+
S00267,8.09,0,7.44,15,13,32,83,18,3,78,B+
S00268,5.78,0,8.07,17,13,29,81,22,5,81,B+
S00269,5.82,0,5.89,17,15,26,94,21,3,79,B+
S00270,8.94,0,6.54,15,15,30,87,21,4,81,B+
S00271,7.72,0,8.16,13,17,27,89,22,4,79,B+
S00272,4.01,0,6.73,15,16,31,65,20,5,82,B+
S00273,5.53,0,8.67,14,17,25,84,19,4,75,B+
S00274,7.26,0,7.86,17,14,20,56,19,5,70,B
S00275,4.88,0,6.76,16,17,28,86,20,3,81,B+
S00276,7.54,0,8.57,12,14,23,66,19,4,68,B
S00277,4.53,0,5.2,15,17,29,65,17,5,78,B+
S00278,6.21,0,8.24,14,17,31,77,18,3,80,B+
S00279,5.11,3,8.13,11,10,24,75,20,4,65,B
S00280,5.66,0,7.42,16,12,28,80,18,4,74,B
S00281,5.81,0,5.58,16,14,27,89,23,4,80,B+
S00282,4.49,1,6.14,13,6,26,83,21,2,66,B
S00283,7.7,0,6.26,12,14,25,85,18,2,69,B
S00284,4.88,0,7.33,18,14,32,87,22,5,86,A
S00285,8.66,0,7.58,13,16,28,80,22,4,79,B+
S00286,4.5,0,6.4,12,17,28,95,24,4,81,B+
S00287,7.37,0,6.57,14,14,22,95,20,4,70,B
S00288,5.55,0,7.3,16,15,30,89,20,5,81,B+
S00289,7.17,1,5.87,13,14,25,82,19,3,71,B
S00290,5.75,0,7.87,12,13,27,91,18,3,70,B
S00291,3.7,0,6.7,15,15,28,58,16,4,74,B
S00292,6.56,0,8.94,14,16,29,96,21,4,80,B+
S00293,7.39,0,6.85,14,11,25,68,15,2,65,B
S00294,7.72,0,4.62,14,16,33,76,20,4,83,B+
S00295,5.68,0,6.75,14,12,25,92,21,4,72,B
S00296,9.27,0,6.92,18,18,29,86,23,4,88,A
S00297,6.73,0,5.64,13,16,29,96,17,2,75,B+
S00298,8.15,0,6.19,16,14,26,88,20,4,76,B+
S00299,5.17,0,8.68,10,16,27,79,21,5,74,B
S00300,7.53,0,6.69,16,12,25,80,18,3,71,B
S00301,7.76,0,6.03,17,19,29,81,18,4,83,B+
S00302,6.71,2,6.09,17,13,30,95,20,3,80,B+
S00303,8.39,3,8.71,9,12,26,78,20,4,67,B
S00304,5.68,1,7.19,12,13,27,80,21,5,73,B
S00305,8.22,0,5.98,10,10,26,84,21,3,67,B
S00306,6.28,0,4.72,17,16,23,83,19,3,75,B+
S00307,7.35,0,6.44,18,19,22,79,19,4,78,B+
S00308,7.45,2,6.06,15,12,23,77,19,4,69,B
S00309,5.58,0,4.86,18,12,27,81,16,3,73,B
S00310,6.31,1,7.02,12,17,26,62,16,3,71,B
S00311,7.42,1,6.73,17,16,25,80,19,4,77,B+
S00312,5.52,0,5.19,13,14,30,80,16,3,73,B
S00313,7.39,1,7.23,15,13,27,65,16,5,71,B
S00314,5.13,0,7.59,14,15,22,70,21,5,72,B
S00315,5.61,3,3.53,9,9,21,38,13,4,52,C
S00316,6.26,0,6.23,16,16,30,86,23,5,85,A
S00317,7.32,0,6.5,18,17,33,75,19,4,87,A
S00318,7.42,0,7.03,15,16,24,82,21,4,76,B+
S00319,6.54,0,6.82,16,16,23,95,19,2,74,B
S00320,8.18,1,7.36,15,15,25,76,19,5,74,B
S00321,7.77,0,7.38,14,14,33,86,24,5,85,A
S00322,7.45,2,7.48,12,11,21,86,20,4,64,C+
S00323,4.54,1,6.81,15,14,31,77,13,2,73,B
S00324,5.16,0,8.01,17,15,26,85,22,5,80,B+
S00325,6.71,0,7.86,17,14,28,70,18,3,77,B+
S00326,5.89,0,6.38,12,15,25,92,17,2,69,B
S00327,7.08,0,6.32,17,14,26,83,18,3,75,B+
S00328,5.48,2,6.57,13,13,25,64,20,4,71,B
S00329,5.4,0,8.85,19,12,27,86,17,3,75,B+
S00330,6.19,1,6.11,15,13,24,68,17,4,69,B
S00331,4.78,0,8.61,19,16,23,72,17,4,75,B+
S00332,3.9,0,8.77,16,16,25,74,16,3,73,B
S00333,8.42,0,5.43,14,15,30,73,20,4,79,B+
S00334,7.13,1,7.31,16,12,26,70,23,5,77,B+
S00335,5.44,0,7.29,18,14,30,77,13,2,75,B+
S00336,8.13,0,6.62,15,12,29,97,21,3,77,B+
S00337,5.49,0,8.07,14,16,23,73,22,4,75,B+
S00338,4.66,0,6.68,13,14,25,86,19,2,71,B
S00339,8.28,2,6.92,14,14,27,86,20,4,75,B+
S00340,6.1,1,8.34,15,14,21,71,19,4,69,B
S00341,6.9,1,6.05,14,15,25,82,19,4,73,B
S00342,7.61,0,6.2,16,18,22,85,19,4,75,B+
S00343,7.36,0,6.55,15,18,23,78,16,2,72,B
S00344,7.0,0,8.09,13,12,24,84,16,3,65,B
S00345,6.06,0,6.39,14,15,27,88,21,4,77,B+
S00346,6.05,0,6.81,18,18,26,89,20,4,82,B+
S00347,7.05,0,7.88,15,13,30,94,24,5,82,B+
S00348,5.4,0,7.35,16,13,28,90,20,4,77,B+
S00349,5.33,0,8.14,13,12,21,72,18,3,64,C+
S00350,5.67,0,5.07,13,15,28,73,18,3,74,B
S00351,7.13,0,5.76,15,15,29,77,19,3,78,B+
S00352,6.82,1,5.49,14,14,22,80,23,4,73,B
S00353,6.25,0,4.5,17,13,27,76,16,3,73,B
S00354,5.7,0,4.24,15,16,28,88,18,2,77,B+
S00355,6.35,1,5.81,13,13,28,85,21,4,75,B+
S00356,8.04,0,5.89,12,14,30,90,24,5,80,B+
S00357,6.12,2,7.74,9,13,20,65,21,5,63,C+
S00358,6.11,0,5.16,14,13,26,78,18,5,71,B
S00359,6.45,1,3.99,9,12,27,76,21,4,69,B
S00360,7.43,0,7.54,12,16,28,88,23,4,79,B+
S00361,7.96,0,7.54,16,13,24,88,22,4,75,B+
S00362,6.9,0,5.69,16,17,28,92,21,4,82,B+
S00363,8.08,0,6.82,14,13,26,79,19,4,72,B
S00364,7.49,0,6.13,14,17,28,71,14,2,73,B
S00365,5.57,0,7.06,14,13,29,85,19,3,75,B+
S00366,4.88,1,7.37,15,15,23,74,20,4,73,B
S00367,7.95,0,6.3,16,14,31,76,20,4,81,B+
S00368,4.7,1,5.36,16,12,26,92,21,5,75,B+
S00369,6.23,1,5.56,19,12,20,100,22,3,73,B
S00370,5.62,1,4.39,14,13,27,60,16,3,70,B
S00371,6.74,0,9.32,16,17,28,87,22,4,83,B+
S00372,8.24,1,8.4,13,12,26,86,23,4,74,B
S00373,7.05,0,6.44,12,15,28,76,20,4,75,B+
S00374,5.78,0,5.69,16,16,28,94,21,3,81,B+
S00375,4.01,0,7.64,16,17,24,83,21,4,78,B+
S00376,6.46,1,6.52,15,17,26,82,19,4,77,B+
S00377,4.27,0,6.59,15,14,22,70,19,4,70,B
S00378,7.8,1,8.12,16,14,23,66,18,4,71,B
S00379,8.79,3,6.7,7,13,23,71,20,4,63,C+
S00380,7.75,0,8.48,12,19,30,89,16,2,77,B+
S00381,8.78,0,7.57,12,13,24,66,18,4,67,B
S00382,5.62,0,5.56,17,14,25,96,20,4,76,B+
S00383,7.81,0,5.68,17,13,26,73,16,3,72,B
S00384,6.74,0,6.81,15,17,24,66,18,4,74,B
S00385,4.6,0,6.57,15,14,30,69,18,4,77,B+
S00386,5.92,0,6.9,16,16,30,79,17,4,79,B+
S00387,6.45,0,7.88,15,16,27,89,23,5,81,B+
S00388,5.12,0,5.86,14,15,29,76,23,5,81,B+
S00389,6.11,0,7.26,16,14,27,95,23,3,80,B+
S00390,7.62,0,6.18,14,13,24,69,21,4,72,B
S00391,6.67,0,7.91,17,14,23,93,22,5,76,B+
S00392,5.69,0,6.1,13,13,30,88,20,3,76,B+
S00393,4.92,1,6.76,11,13,24,48,18,5,66,B
S00394,6.4,0,6.7,13,14,31,93,20,2,78,B+
S00395,7.63,0,5.75,20,16,26,87,15,3,77,B+
S00396,6.53,0,6.8,15,16,31,61,14,3,76,B+
S00397,5.64,1,4.99,12,10,25,63,10,2,57,C+
S00398,7.51,0,6.5,14,13,26,85,21,3,74,B
S00399,4.69,0,4.52,15,18,26,86,18,3,77,B+
S00400,8.6,1,7.27,12,13,20,89,22,4,67,B
S00401,7.26,0,6.15,17,18,31,94,22,3,88,A
S00402,9.22,0,6.26,16,16,28,74,23,5,83,B+
S00403,6.11,0,8.4,17,18,24,76,13,2,72,B
S00404,6.34,0,6.8,15,13,32,64,15,3,75,B+
S00405,7.33,1,5.05,14,16,28,73,21,4,79,B+
S00406,8.0,0,8.26,15,14,31,55,15,3,75,B+
S00407,5.09,0,7.49,14,15,30,75,18,4,77,B+
S00408,5.33,0,5.49,14,15,26,80,17,3,72,B
S00409,6.98,0,8.19,18,17,27,81,24,5,86,A
S00410,6.73,0,6.7,17,17,23,77,16,3,73,B
S00411,5.37,0,6.99,16,15,23,68,22,5,76,B+
S00412,6.29,1,6.37,18,12,31,74,22,5,83,B+
S00413,6.07,0,7.82,16,14,28,63,13,2,71,B
S00414,5.53,0,5.29,14,17,26,88,24,4,81,B+
S00415,6.37,0,6.23,17,17,26,79,19,4,79,B+
S00416,6.42,2,6.54,13,12,18,93,21,3,64,C+
S00417,6.84,1,8.48,11,13,22,70,19,4,65,B
S00418,7.57,0,7.11,15,14,30,84,17,2,76,B+
S00419,6.18,0,5.8,16,16,23,77,17,3,72,B
S00420,6.67,0,5.99,15,13,30,70,19,5,77,B+
S00421,7.05,0,6.6,14,16,27,80,20,4,77,B+
S00422,6.29,0,6.46,17,15,30,86,24,5,86,A
S00423,4.39,0,6.13,14,15,26,92,20,3,75,B+
S00424,7.03,2,7.74,11,13,23,55,20,5,67,B
S00425,7.08,3,5.51,7,11,24,94,21,4,63,C+
S00426,6.25,0,5.71,13,14,27,94,21,3,75,B+
S00427,7.0,0,7.08,14,12,21,70,19,4,66,B
S00428,5.62,0,8.02,17,19,24,70,17,3,77,B+
S00429,5.89,0,4.88,15,10,29,93,19,4,73,B
S00430,5.77,3,8.23,11,9,24,82,22,4,66,B
S00431,7.58,1,8.41,15,12,23,77,19,4,69,B
S00432,7.31,0,5.0,17,12,25,67,17,4,71,B
S00433,7.34,0,5.68,13,15,30,80,18,4,76,B+
S00434,4.32,0,6.5,15,16,22,69,14,3,67,B
S00435,6.23,1,6.02,16,12,23,85,17,3,68,B
S00436,7.26,0,6.41,17,14,24,84,24,5,79,B+
S00437,6.23,1,6.6,12,13,26,84,20,3,71,B
S00438,7.61,1,6.95,12,17,27,75,22,4,78,B+
S00439,5.12,1,9.0,12,16,22,87,16,2,66,B
S00440,7.07,0,7.01,16,15,28,84,22,5,81,B+
S00441,5.57,0,5.09,14,16,29,78,17,3,76,B+
S00442,6.43,1,8.4,10,15,24,69,19,4,68,B
S00443,8.65,0,4.99,13,14,28,75,18,4,73,B
S00444,6.8,0,6.35,15,12,23,91,25,4,75,B+
S00445,7.47,0,7.3,15,16,31,93,23,4,85,A
S00446,7.0,0,7.17,9,14,25,84,22,5,70,B
S00447,4.92,0,7.85,15,14,24,82,15,2,68,B
S00448,5.08,0,2.39,14,16,29,93,24,4,83,B+
S00449,6.64,2,6.46,12,12,20,85,21,3,65,B
S00450,5.39,0,9.2,12,14,23,82,21,4,70,B
S00451,7.06,0,6.27,14,14,28,78,22,4,78,B+
